month,weekday,time_numeric,is_weekend,season_number,opponent_avg_attendance,distance,distance_log,ticket_count
9,4,19.5,1,0,1478.6666666666667,369.0,5.910796644040527,1509.0
9,6,16.5,1,0,1291.4,463.0,6.137727054086234,1473.0
9,1,19.5,0,0,1344.8333333333333,588.0,6.376726947898627,987.0
10,6,14.0,1,0,1618.0,600.0,6.396929655216146,1336.0
10,6,19.0,1,0,1310.1666666666667,638.0,6.45833828334479,1146.0
10,2,19.5,0,0,1291.4,463.0,6.137727054086234,252.0
10,6,14.0,1,0,2247.6,252.0,5.529429087511423,1253.0
10,6,16.5,1,0,1392.5,517.0,6.248042874508429,1707.0
11,4,19.5,1,0,1478.6666666666667,369.0,5.910796644040527,1124.0
11,4,19.5,1,0,2443.285714285714,228.0,5.429345628954441,1027.0
11,4,19.5,1,0,1699.5,304.0,5.717027701406222,1125.0
12,4,19.5,1,0,1392.5,517.0,6.248042874508429,1078.0
12,3,19.5,0,0,1618.0,600.0,6.396929655216146,920.0
12,1,19.5,0,0,1310.1666666666667,638.0,6.45833828334479,540.0
12,6,16.5,1,0,1898.5,442.0,6.091309882077698,1462.0
12,2,19.5,0,0,2443.285714285714,228.0,5.429345628954441,2188.0
12,0,16.5,0,0,2094.8333333333335,376.0,5.929589143389895,2263.0
12,2,19.5,0,0,1613.6666666666667,526.0,6.26530121273771,2597.0
1,0,19.5,0,0,1344.8333333333333,588.0,6.376726947898627,1170.0
1,6,14.0,1,0,1699.5,304.0,5.717027701406222,1951.0
1,4,19.5,1,0,1329.0,560.0,6.327936783729195,1165.0
1,4,19.5,1,0,1613.6666666666667,526.0,6.26530121273771,1571.0
2,4,19.5,1,0,2094.8333333333335,376.0,5.929589143389895,2068.0
2,2,19.5,0,0,2028.2,367.0,5.905361848054571,1980.0
2,6,16.5,1,0,2443.285714285714,228.0,5.429345628954441,3492.0
2,6,16.5,1,0,1898.5,442.0,6.091309882077698,2367.0
3,4,19.5,1,0,2028.2,367.0,5.905361848054571,2537.0
9,4,19.5,1,1,1344.8333333333333,588.0,6.376726947898627,1624.0
9,4,19.5,1,1,1329.0,560.0,6.327936783729195,1127.0
10,6,16.5,1,1,1699.5,304.0,5.717027701406222,1906.0
10,4,19.5,1,1,1898.5,442.0,6.091309882077698,1429.0
10,6,14.0,1,1,2443.285714285714,228.0,5.429345628954441,2412.0
10,6,16.5,1,1,1478.6666666666667,369.0,5.910796644040527,1202.0
10,4,19.5,1,1,2094.8333333333335,376.0,5.929589143389895,1677.0
10,6,19.0,1,1,1699.5,304.0,5.717027701406222,1910.0
11,6,14.0,1,1,1478.6666666666667,369.0,5.910796644040527,1642.0
11,3,18.0,0,1,1310.1666666666667,638.0,6.45833828334479,1161.0
12,4,19.5,1,1,1344.8333333333333,588.0,6.376726947898627,1547.0
12,6,14.0,1,1,2247.6,252.0,5.529429087511423,2324.0
12,4,19.5,1,1,1291.4,463.0,6.137727054086234,1297.0
12,6,19.0,1,1,1613.6666666666667,526.0,6.26530121273771,1233.0
12,5,16.5,1,1,1898.5,442.0,6.091309882077698,2524.0
12,3,19.5,0,1,1618.0,600.0,6.396929655216146,2790.0
1,6,14.0,1,1,2028.2,367.0,5.905361848054571,2375.0
1,6,19.0,1,1,1329.0,560.0,6.327936783729195,1117.0
1,4,19.5,1,1,1310.1666666666667,638.0,6.45833828334479,1397.0
1,4,19.5,1,1,2443.285714285714,228.0,5.429345628954441,2432.0
2,4,19.5,1,1,1613.6666666666667,526.0,6.26530121273771,1455.0
2,6,16.5,1,1,1618.0,600.0,6.396929655216146,1825.0
2,6,14.0,1,1,2247.6,252.0,5.529429087511423,2755.0
3,4,19.5,1,1,2094.8333333333335,376.0,5.929589143389895,2600.0
3,6,14.0,1,1,1291.4,463.0,6.137727054086234,2183.0
9,6,16.5,1,2,2028.2,367.0,5.905361848054571,1944.0
9,4,19.5,1,2,1699.5,304.0,5.717027701406222,1439.0
10,4,19.5,1,2,1310.1666666666667,638.0,6.45833828334479,1466.0
10,6,16.5,1,2,1898.5,442.0,6.091309882077698,1683.0
10,6,14.0,1,2,2443.285714285714,228.0,5.429345628954441,2712.0
10,3,14.0,0,2,1898.5,442.0,6.091309882077698,1926.0
11,6,14.0,1,2,1310.1666666666667,638.0,6.45833828334479,2151.0
11,3,19.5,0,2,1344.8333333333333,588.0,6.376726947898627,901.0
11,2,18.0,0,2,2028.2,367.0,5.905361848054571,1305.0
11,4,19.5,1,2,2094.8333333333335,376.0,5.929589143389895,1618.0
12,4,13.0,1,2,1618.0,600.0,6.396929655216146,1339.0
12,4,19.5,1,2,1291.4,463.0,6.137727054086234,1252.0
12,2,19.5,0,2,1613.6666666666667,526.0,6.26530121273771,1006.0
12,6,14.0,1,2,1478.6666666666667,369.0,5.910796644040527,2265.0
12,3,16.5,0,2,2443.285714285714,228.0,5.429345628954441,2840.0
1,6,16.5,1,2,1329.0,560.0,6.327936783729195,1887.0
1,6,14.0,1,2,2247.6,252.0,5.529429087511423,2474.0
1,6,16.5,1,2,1344.8333333333333,588.0,6.376726947898627,1840.0
1,6,19.0,1,2,1618.0,600.0,6.396929655216146,1498.0
1,1,19.5,0,2,1478.6666666666667,369.0,5.910796644040527,1130.0
2,6,16.5,1,2,1699.5,304.0,5.717027701406222,1866.0
2,6,14.0,1,2,2247.6,252.0,5.529429087511423,2432.0
2,4,18.0,1,2,1613.6666666666667,526.0,6.26530121273771,1820.0
2,4,19.5,1,2,2094.8333333333335,376.0,5.929589143389895,2343.0
3,1,19.5,0,2,1329.0,560.0,6.327936783729195,1349.0
